StoreID,before,after
1,16152.95,16303.447368421053
2,6764.4857142857145,6894.0526315789475
3,13627.65,13465.105263157895
4,9448.485714285716,10260.421052631578
5,13698.271428571432,13669.684210526315
6,18013.56428571429,18666.842105263157
7,13077.757142857143,13669.184210526315
8,15148.585714285715,14683.868421052632
9,15515.800000000003,15221.71052631579
10,12087.321428571426,12314.184210526315
11,9678.82857142857,9283.342105263158
12,11403.971428571429,10975.868421052632
13,12020.557142857142,12632.236842105263
14,6677.7642857142855,7071.078947368421
15,11630.8,11849.868421052632
16,6225.007142857142,6477.894736842105
17,6210.428571428572,5854.684210526316
18,6786.5928571428585,6863.763157894737
19,10544.192857142858,10383.368421052632
20,6122.171428571428,6450.0
21,9093.114285714286,9381.657894736842
22,9313.535714285714,9440.184210526315
23,10922.442857142856,11223.315789473685
24,10803.257142857143,11831.552631578947
25,9570.464285714286,10122.815789473685
26,11467.014285714287,11808.552631578947
27,5491.428571428571,5770.631578947368
28,9888.457142857145,10077.631578947368
29,10326.157142857142,10986.21052631579
30,9983.164285714285,9939.184210526315
31,15835.30714285714,15256.0
32,12518.17142857143,12680.947368421053
33,8998.82142857143,9285.394736842105
34,8591.742857142857,8590.973684210527
35,3080.4357142857143,3047.2894736842104
36,14887.307142857142,15248.342105263158
37,10415.164285714285,10986.236842105263
38,13928.535714285714,13984.868421052632
39,4390.192857142857,4699.368421052632
40,5870.4000000000015,5908.026315789473
41,8163.707142857143,8397.842105263158
42,14730.721428571429,15512.368421052632
43,9893.385714285716,10023.131578947368
44,16145.314285714285,16019.78947368421
45,9941.399999999998,9899.894736842105
46,5407.8,5537.131578947368
47,10971.464285714286,11215.842105263158
48,8646.942857142856,8620.71052631579
49,8491.092857142858,8735.71052631579
50,7019.042857142857,7172.894736842105
51,11440.557142857142,11612.78947368421
52,4857.857142857143,4585.394736842105
53,14682.85,13888.026315789473
54,3541.7857142857147,3865.8947368421054
55,14572.342857142856,13923.236842105263
56,12032.078571428572,12851.842105263158
57,12494.75,13055.447368421053
58,10547.078571428572,10728.605263157895
59,6105.371428571429,6072.105263157895
60,7676.592857142858,7679.473684210527
61,9356.22857142857,9833.921052631578
62,5054.078571428571,5428.815789473684
63,9292.835714285715,9911.0
64,14507.371428571429,14241.526315789473
65,11473.185714285713,11260.605263157895
66,13048.878571428573,13894.447368421053
67,6236.300000000001,6257.578947368421
68,10750.242857142859,11142.21052631579
69,11822.850000000002,11822.052631578947
70,5583.449999999999,5728.763157894737
71,12075.92142857143,11851.368421052632
72,7547.914285714285,7419.210526315789
73,11912.007142857145,11918.026315789473
74,11733.300000000001,12279.71052631579
75,5523.985714285715,5572.263157894737
76,5018.071428571428,5209.6578947368425
77,11321.435714285713,11912.236842105263
78,12777.249999999998,12884.28947368421
79,9247.364285714286,9051.684210526315
80,14892.67142857143,15080.842105263158
81,6096.842857142858,6471.184210526316
82,7435.4,7599.710526315789
83,9925.649999999998,10097.394736842105
84,15324.04285714286,15834.815789473685
85,5640.835714285714,5827.315789473684
86,15580.400000000003,15737.263157894737
87,13125.157142857144,12487.736842105263
88,7963.614285714286,8011.710526315789
89,12401.878571428571,12025.052631578947
90,11509.535714285714,12527.5
91,14953.02142857143,15702.578947368422
92,8763.564285714287,9619.868421052632
93,7407.150000000001,7820.815789473684
94,6726.664285714286,6680.315789473684
95,15880.935714285715,15897.842105263158
96,13969.871428571429,13901.315789473685
97,13476.264285714287,14468.078947368422
98,7758.150000000001,8767.526315789473
99,9145.135714285714,9051.657894736842
100,7578.642857142857,7532.210526315789
101,15226.000000000002,15433.131578947368
102,10989.550000000001,11010.157894736842
103,8922.214285714286,8596.263157894737
104,14267.942857142856,14192.78947368421
105,6370.45,6636.0526315789475
106,9986.785714285714,10050.78947368421
107,12492.807142857144,12552.552631578947
108,7922.3,8167.5526315789475
109,11238.714285714286,11313.631578947368
110,11201.985714285713,12296.631578947368
111,13283.885714285714,14624.131578947368
112,12678.6,13180.815789473685
113,14543.635714285714,15577.973684210527
114,8091.771428571429,8085.210526315789
115,9112.45,9269.0
116,6855.664285714286,6825.736842105263
117,15023.978571428572,15249.447368421053
118,16342.135714285712,15409.78947368421
119,10159.214285714286,10247.315789473685
120,5448.578571428572,6167.815789473684
121,5241.714285714285,5314.815789473684
122,6948.035714285713,7200.973684210527
123,8967.957142857143,8743.078947368422
124,14391.571428571426,14303.5
125,15043.785714285714,15661.421052631578
126,7382.914285714285,7313.973684210527
127,5554.0142857142855,5420.9473684210525
128,10400.385714285714,10909.263157894737
129,15278.842857142856,15149.28947368421
130,8224.257142857143,7981.736842105263
131,12885.864285714286,12847.78947368421
132,16150.792857142855,15183.078947368422
133,5320.442857142857,5541.131578947368
134,16823.835714285717,17534.5
135,6792.164285714286,7025.1578947368425
136,14124.385714285714,14604.157894736842
137,9207.435714285715,9493.684210526315
138,11773.035714285714,11738.605263157895
139,7177.25,7914.210526315789
140,8554.857142857143,8750.21052631579
141,10526.850000000002,11306.21052631579
142,7159.928571428572,7223.526315789473
143,17001.864285714284,16110.736842105263
144,11440.614285714286,12049.421052631578
145,9812.742857142859,11055.815789473685
146,9814.635714285714,9895.815789473685
147,11603.457142857142,11446.105263157895
148,15432.600000000002,15364.0
149,7843.328571428571,8279.078947368422
150,13466.185714285713,13956.078947368422
151,13157.514285714287,13430.631578947368
152,6664.928571428572,6442.710526315789
153,13158.307142857144,13948.157894736842
154,13624.371428571429,13898.0
155,10674.664285714285,10288.868421052632
156,10919.82857142857,11552.526315789473
157,8828.185714285715,9116.105263157895
158,14355.657142857142,14618.368421052632
159,15798.328571428572,16149.315789473685
160,4549.464285714285,4626.3421052631575
161,7535.542857142857,7798.315789473684
162,5109.378571428571,5032.105263157895
163,12818.678571428569,12081.736842105263
164,4533.95,4668.631578947368
165,11108.52142857143,11848.631578947368
166,16120.921428571428,16013.973684210527
167,12537.164285714285,13149.105263157895
168,4553.714285714284,4602.4473684210525
169,9060.278571428573,9433.894736842105
170,6431.785714285715,6718.289473684211
171,4784.685714285714,4916.105263157895
172,15151.892857142859,15352.894736842105
173,13703.442857142858,12696.447368421053
174,13990.07142857143,14162.657894736842
175,13814.692857142858,14256.157894736842
176,14182.685714285715,14646.605263157895
177,11126.442857142854,11000.5
178,12345.22857142857,13474.342105263158
179,14214.321428571426,14304.28947368421
180,7032.992857142856,7047.473684210527
181,7104.035714285715,7373.473684210527
182,11791.978571428572,11312.868421052632
183,9736.585714285713,9990.763157894737
184,9931.878571428573,10093.157894736842
185,6410.714285714285,6248.026315789473
186,5405.4571428571435,5861.526315789473
187,10079.671428571428,10328.236842105263
188,16421.692857142854,15386.394736842105
189,15478.871428571427,15975.0
190,7058.907142857142,7239.921052631579
191,6381.492857142858,6616.263157894737
192,13624.657142857144,13465.236842105263
193,10298.264285714284,10132.684210526315
194,13870.342857142856,14334.71052631579
195,11593.728571428572,12091.0
196,15835.05714285714,15995.157894736842
197,13021.185714285713,13181.105263157895
198,15804.29285714286,17219.815789473683
199,10265.514285714287,10740.078947368422
200,14956.392857142859,15516.342105263158
201,10744.857142857143,10715.184210526315
202,10074.778571428573,10508.026315789473
203,13980.371428571427,14106.368421052632
204,11406.485714285713,11876.657894736842
205,12679.628571428571,12907.421052631578
206,14445.149999999998,14771.526315789473
207,8515.442857142858,8471.842105263158
208,9469.82142857143,9091.184210526315
209,6514.400000000001,6578.473684210527
210,9128.449999999999,9394.131578947368
211,15002.085714285711,14964.947368421053
212,9204.207142857143,9261.552631578947
213,11418.357142857143,12078.815789473685
214,10842.67142857143,10703.473684210527
215,7876.214285714285,7948.736842105263
216,6276.478571428571,6436.8421052631575
217,11039.800000000001,11601.368421052632
218,17110.72857142857,16765.63157894737
219,13734.307142857144,14443.263157894737
220,13895.728571428572,14933.894736842105
221,15863.95714285714,16376.157894736842
222,12898.271428571432,13366.078947368422
223,13018.985714285716,12534.71052631579
224,9623.442857142858,10473.236842105263
225,12252.30714285714,12569.947368421053
226,10994.092857142858,11701.342105263158
227,13330.621428571429,14104.0
228,12776.607142857143,12572.421052631578
229,11041.699999999999,11303.263157894737
230,12689.8,13115.263157894737
231,13885.221428571429,14495.28947368421
232,6613.992857142858,6875.578947368421
233,15269.257142857141,15345.342105263158
234,8367.064285714285,8880.315789473685
235,5518.478571428571,5408.421052631579
236,6629.164285714286,7121.131578947368
237,7607.514285714285,7222.184210526316
238,10858.850000000002,11014.28947368421
239,12323.707142857142,12534.578947368422
240,9804.214285714286,9194.578947368422
241,4972.400000000001,5227.368421052632
242,12972.971428571427,12504.105263157895
243,13612.485714285716,14440.184210526315
244,15160.207142857142,16118.421052631578
245,12689.278571428571,12685.052631578947
246,15315.092857142858,15492.105263157895
247,9633.164285714285,9745.921052631578
248,7381.564285714287,7437.684210526316
249,8428.907142857144,8889.263157894737
250,11856.221428571427,12465.342105263158
251,13463.271428571428,13454.0
252,15189.050000000001,14672.868421052632
253,5528.342857142858,5379.3421052631575
254,14276.642857142857,14889.657894736842
255,15132.085714285713,16607.92105263158
256,4725.021428571427,4556.473684210527
257,10787.742857142857,10426.28947368421
258,7380.300000000001,7383.315789473684
259,8997.664285714285,9783.447368421053
260,7962.77142857143,8040.263157894737
261,7644.835714285715,7983.394736842105
262,3900.342857142857,4218.8421052631575
263,9010.778571428571,9399.78947368421
264,8071.635714285714,8433.578947368422
265,11103.278571428573,10729.184210526315
